"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"На странице ищем вопрос и проверяем, что ответ ему соответствует","1955","Тест для вопроса: Как рассчитывается время аренды?","tests","Fri Apr 18 17:01:42 GMT+05:00 2025","passed","Fri Apr 18 17:01:44 GMT+05:00 2025","TestFAQPage","test_faq","",""
"На странице проверяем переход по лого Самоката на стартовую страницу","472","Тест для лого «Самокат» вверху страницы","tests","Fri Apr 18 17:02:31 GMT+05:00 2025","passed","Fri Apr 18 17:02:32 GMT+05:00 2025","TestOrder","test_order","",""
"Оформляем заказ со сгенерированными данными","3478","Тест успешного оформления заказа самоката","tests","Fri Apr 18 17:02:14 GMT+05:00 2025","passed","Fri Apr 18 17:02:18 GMT+05:00 2025","TestOrder","test_order","",""
"На странице ищем вопрос и проверяем, что ответ ему соответствует","1818","Тест для вопроса: Я жизу за МКАДом, привезёте?","tests","Fri Apr 18 17:02:02 GMT+05:00 2025","passed","Fri Apr 18 17:02:04 GMT+05:00 2025","TestFAQPage","test_faq","",""
"На странице ищем вопрос и проверяем, что ответ ему соответствует","2030","Тест для вопроса: Вы привозите зарядку вместе с самокатом?","tests","Fri Apr 18 17:01:54 GMT+05:00 2025","passed","Fri Apr 18 17:01:56 GMT+05:00 2025","TestFAQPage","test_faq","",""
"На странице ищем вопрос и проверяем, что ответ ему соответствует","2121","Тест для вопроса: Хочу сразу несколько самокатов! Так можно?","tests","Fri Apr 18 17:01:38 GMT+05:00 2025","passed","Fri Apr 18 17:01:40 GMT+05:00 2025","TestFAQPage","test_faq","",""
"На странице ищем вопрос и проверяем, что ответ ему соответствует","1842","Тест для вопроса: Сколько это стоит? И как оплатить?","tests","Fri Apr 18 17:01:34 GMT+05:00 2025","passed","Fri Apr 18 17:01:36 GMT+05:00 2025","TestFAQPage","test_faq","",""
"На странице ищем кнопку «Заказать» вверху страницы и проверяем переход на страницу заказа","252","Тест для кнопки «Заказать» вверху страницы","tests","Fri Apr 18 17:02:07 GMT+05:00 2025","passed","Fri Apr 18 17:02:07 GMT+05:00 2025","TestOrder","test_order","",""
"На странице ищем вопрос и проверяем, что ответ ему соответствует","1908","Тест для вопроса: Можно ли продлить заказ или вернуть самокат раньше?","tests","Fri Apr 18 17:01:50 GMT+05:00 2025","passed","Fri Apr 18 17:01:52 GMT+05:00 2025","TestFAQPage","test_faq","",""
"Оформляем заказ со сгенерированными данными","3534","Тест успешного оформления заказа самоката","tests","Fri Apr 18 17:02:21 GMT+05:00 2025","passed","Fri Apr 18 17:02:25 GMT+05:00 2025","TestOrder","test_order","",""
"На странице ищем кнопку «Заказать» внизу страницы и проверяем переход на страницу заказа","246","Тест для кнопки «Заказать» внизу страницы","tests","Fri Apr 18 17:02:11 GMT+05:00 2025","passed","Fri Apr 18 17:02:11 GMT+05:00 2025","TestOrder","test_order","",""
"Проверка перехода по логотипу Яндекса в новой вкладке","1507","Тест для лого «Яндекс» в новой вкладке","tests","Fri Apr 18 17:02:38 GMT+05:00 2025","passed","Fri Apr 18 17:02:40 GMT+05:00 2025","TestOrder","test_order","",""
"На странице ищем вопрос и проверяем, что ответ ему соответствует","1905","Тест для вопроса: Можно ли отменить заказ?","tests","Fri Apr 18 17:01:58 GMT+05:00 2025","passed","Fri Apr 18 17:02:00 GMT+05:00 2025","TestFAQPage","test_faq","",""
"На странице ищем вопрос и проверяем, что ответ ему соответствует","2097","Тест для вопроса: Можно ли заказать самокат прямо на сегодня?","tests","Fri Apr 18 17:01:46 GMT+05:00 2025","passed","Fri Apr 18 17:01:48 GMT+05:00 2025","TestFAQPage","test_faq","",""
